ScrapedName,PlayerID,Method,MatchedName
Kristoffer Koren Sørvang,13447,Manual,Kristoffer Koren Sørvang
Krystof Herold,2022,Exact,Krystof Herold
Krystof Lebl,1224,Exact,Krystof Lebl
Kryštof Herold,2022,Fuzzy,Krystof Herold
Kryštof Lebl,1224,Fuzzy,Krystof Lebl
Ladislav Tmej,887,Exact,Ladislav Tmej
Ladislav Tměj,887,Fuzzy,Ladislav Tmej
Laima Kamzola,5635,Exact,Laima Kamzola
Lari Metsala,8521,Exact,Lari Metsala
Lari Metsälä,8521,Manual,Lari Metsälä
Lars Fridell,2202,Exact,Lars Fridell
Lars Henriksson,1207,Exact,Lars Henriksson
Lars Johansson,2410,Fuzzy,Mats Johansson
Lars Karmborg,2916,Exact,Lars Karmborg
Lars Pålsson,2912,Exact,Lars Pålsson
Lars Söderkvist,4092,Exact,Lars Söderkvist
Lars Ulfvensjö,13854,Exact,Lars Ulfvensjö
Lars-Erik Svensson,1297,Exact,Lars-Erik Svensson
Lasse Lindgren,7618,Exact,Lasse Lindgren
Laszlo Altmann,5321,Exact,Laszlo Altmann
Laszlo Kiss,5322,Exact,Laszlo Kiss
Lauri Tornstrom,2582,Fuzzy,Lauri Törnström
Lauri Törnström,2582,Exact,Lauri Törnström
Laurynas Orlauskas,2018,Exact,Laurynas Orlauskas
Lenart Traven,10546,Exact,Lenart Traven
Leon Haussknecht,1267,Exact,Leon Haussknecht
Leonards Mazurs,9159,Fuzzy,Leonards Mazūrs
Leonards Mazūrs,9159,Exact,Leonards Mazūrs
Leos Hvizd ml.,4835,Manual,Leos Hvizd ml.
Linas Vasilevicius,1285,Exact,Linas Vasilevicius
Linus Nilsson,2020,Exact,Linus Nilsson
Linus Persson,5645,Fuzzy,Linus Andersson
Linus Restel,1305,Exact,Linus Restel
Liv Österman,2681,Fuzzy,Liv Osterman
Lotta Holmberg,5055,Exact,Lotta Holmberg
Lukas Andersson,6521,Exact,Lukas Andersson
Lukas Gustafsson,2655,Exact,Lukas Gustafsson
Lukas Kahoun,2966,Exact,Lukas Kahoun
Lukass Jurka,9944,Fuzzy,Lūkass Jurka
László Altmann,5321,Fuzzy,Laszlo Altmann
Magnus Borg,2222,Exact,Magnus Borg
Magnus Falk,5572,Exact,Magnus Falk
Magnus Klippen,1647,Exact,Magnus Klippen
Magnus Lind,2205,Exact,Magnus Lind
Magnus Nilsson,2033,Fuzzy,Markus Nilsson
Magnus Olander,2256,Exact,Magnus Olander
Magnus Westin,8232,Fuzzy,Magnus Westman
Magor Papp,1246,Exact,Magor Papp
Magyari Viktor,1289,Exact,Magyari Viktor
Marcel Jenni,9010,Exact,Marcel Jenni
Marcis Radelis,13665,Fuzzy,Mārcis Radelis
Marcus Andersson,2032,Exact,Marcus Andersson
Marcus Johansson,2410,Fuzzy,Mats Johansson
Marcus Koppe,4800,Exact,Marcus Koppe
Marcus Lagerkvist,5060,Exact,Marcus Lagerkvist
Marcus Persson,2210,Exact,Marcus Persson
Marcus Stenbom,12840,Fuzzy,Markus Stenbom
Margarita Abele,8424,Fuzzy,Margarita Ābele
Maria Elena Pettersson,2007,Exact,Maria Elena Pettersson
Maria Saveljeva,208,Exact,Maria Saveljeva
Marius Smaberg,2627,Fuzzy,Marius Småberg
Mariya Miloradova,228,Fuzzy,Maria Miloradova
Mark Alexovic,12723,Exact,Mark Alexovic
Mark Kritski,4196,Exact,Mark Kritski
